show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description,text_features
s1760,Movie,Dil Hai Tumhaara,Kundan Shah,"Rekha, Preity Zinta, Mahima Chaudhry, Arjun Rampal, Jimmy Shergill, Alok Nath, Dilip Joshi, Govind Namdeo",India,"April 1, 2018",2002,TV-14,176 min,"Dramas, International Movies, Music & Musicals","The sophisticated son of a powerful businessman falls for a simple, free-spirited girl whose older sister is in love with him.",kundan shah rekha preity zinta mahima chaudhry arjun rampal jimmy shergill alok nath dilip joshi govind namdeo dramas international movies music  musicals the sophisticated son of a powerful businessman falls for a simple freespirited girl whose older sister is in love with him
s1761,Movie,Dil Se,Mani Ratnam,"Shah Rukh Khan, Manisha Koirala, Preity Zinta, Raghuvir Yadav, Zohra Sehgal, Sabyasachi Chakraborty, Piyush Mishra, Krishnakant, Aditya Srivastava",India,"March 1, 2018",1998,TV-14,166 min,"Dramas, International Movies, Romantic Movies",A radio broadcaster's intense attraction to a mysterious woman opens the door to a tidal wave of powerful emotions and desires.,mani ratnam shah rukh khan manisha koirala preity zinta raghuvir yadav zohra sehgal sabyasachi chakraborty piyush mishra krishnakant aditya srivastava dramas international movies romantic movies a radio broadcasters intense attraction to a mysterious woman opens the door to a tidal wave of powerful emotions and desires
s1762,Movie,Dil Vil Pyaar Vyaar,Manjeet Maan,"Gurdas Maan, Neeru Bajwa, Jassi Gill, Rajiv Thakur, Khushdeed Maan, Manav Vij, Raj Jhinger, Shruti Sodhi, Meher Vij",India,"October 1, 2018",2014,TV-PG,145 min,"International Movies, Music & Musicals, Romantic Movies","Agam Singh's brothers mean everything to him, so while he promises not to marry, he tries to get them to marry – but they want him to marry first.",manjeet maan gurdas maan neeru bajwa jassi gill rajiv thakur khushdeed maan manav vij raj jhinger shruti sodhi meher vij international movies music  musicals romantic movies agam singhs brothers mean everything to him so while he promises not to marry he tries to get them to marry – but they want him to marry first
s1763,Movie,Dilan 1990,"Fajar Bustomi, Pidi Baiq","Vanesha Prescilla, Iqbaal Ramadhan, Debo Andryos, Giulio Parengkuan, Omara Esteghlal, Yoriko Angeline, Zulfa Maharani, Brandon Salim",Indonesia,"May 14, 2020",2018,TV-14,109 min,"Dramas, International Movies, Romantic Movies","At a Bandung high school, charming and rebellious Dilan vies for the affections of shy new student Milea.",fajar bustomi pidi baiq vanesha prescilla iqbaal ramadhan debo andryos giulio parengkuan omara esteghlal yoriko angeline zulfa maharani brandon salim dramas international movies romantic movies at a bandung high school charming and rebellious dilan vies for the affections of shy new student milea
s1764,Movie,Dilan 1991,"Fajar Bustomi, Pidi Baiq","Iqbaal Ramadhan, Vanesha Prescilla, Ira Wibowo, Bucek Depp, Happy Salma, Farhan, Maudy Koesnaedi, Jerome Kurnia",Indonesia,"May 14, 2020",2019,TV-14,118 min,"Dramas, International Movies, Romantic Movies","Dilan's involvement in the motorbike gang imperils his relationship with Milea, whose distant relative returns from Belgium.",fajar bustomi pidi baiq iqbaal ramadhan vanesha prescilla ira wibowo bucek depp happy salma farhan maudy koesnaedi jerome kurnia dramas international movies romantic movies dilans involvement in the motorbike gang imperils his relationship with milea whose distant relative returns from belgium
s1765,Movie,Dilwale,Rohit Shetty,"Shah Rukh Khan, Kajol, Kriti Sanon, Kabir Bedi, Varun Dhawan, Boman Irani, Johnny Lever, Varun Sharma, Sanjay Mishra, Vinod Khanna, Mukesh Tiwari, Pankaj Tripathi, Shawar Ali",India,"February 1, 2017",2015,TV-PG,154 min,"Action & Adventure, Dramas, International Movies","A young couple falls in love, but conflicting loyalties drive them apart. Years later, fate intervenes and hands them a second chance.",rohit shetty shah rukh khan kajol kriti sanon kabir bedi varun dhawan boman irani johnny lever varun sharma sanjay mishra vinod khanna mukesh tiwari pankaj tripathi shawar ali action  adventure dramas international movies a young couple falls in love but conflicting loyalties drive them apart years later fate intervenes and hands them a second chance
s1766,TV Show,Dinner for Five,Unknown,Unknown,United States,"February 4, 2008",2007,TV-MA,1 Season,Stand-Up Comedy & Talk Shows,"In each episode, four celebrities join host Jon Favreau for dinner and share revealing stories about both show business and their personal lives.",unknown unknown standup comedy  talk shows in each episode four celebrities join host jon favreau for dinner and share revealing stories about both show business and their personal lives
s1767,Movie,Dinner for Schmucks,Jay Roach,"Steve Carell, Paul Rudd, Zach Galifianakis, Jemaine Clement, Jeff Dunham, Bruce Greenwood, Ron Livingston, Chris O'Dowd, Lucy Punch, Stephanie Szostak, David Walliams, Larry Wilmore",United States,"January 1, 2020",2010,PG-13,115 min,Comedies,The host of a dinner party invites his friends to bring the saddest loser they can find. But the ultimate schmuck turns everyone else into the losers.,jay roach steve carell paul rudd zach galifianakis jemaine clement jeff dunham bruce greenwood ron livingston chris odowd lucy punch stephanie szostak david walliams larry wilmore comedies the host of a dinner party invites his friends to bring the saddest loser they can find but the ultimate schmuck turns everyone else into the losers
s1768,TV Show,Dino Girl Gauko,Unknown,"Naoko Matsui, Hiroshi Kamiya, Kazue Ikura, Chafurin, Chie Kojiro, Mari Mashiba, Ryoko Shiraishi, Hidekatsu Shibata, Tadashi Miyazawa, Sonosuke Hattori, Karen, Yui Toita, Izu Konishi, Eri Ozaki, Risa Nakamura, Tomoyo Chujo, Takuro Hijioka, Sawako Yoshida, Chika Okubo, Yuri Fujiwara, Tomomi Yamakawa, Hikaru Yuki, Miyako Kobayashi, Mutsuki Arisawa, Koharu Nogata, Tomoka Kuzutani, Madoka Yokoyama, Madoka Hiraide, Ayako Takamura, Yuki Arimoto, Yuto Kazama, Arisa Takami, Chika Sakamoto","United States, Japan","March 20, 2020",2020,TV-Y7,2 Seasons,"Anime Series, Kids' TV","When she gets angry, middle schooler Naoko turns into fierce dinosaur Gauko! Thanks to friends, aliens and more, her life is full of wacky incidents.",unknown naoko matsui hiroshi kamiya kazue ikura chafurin chie kojiro mari mashiba ryoko shiraishi hidekatsu shibata tadashi miyazawa sonosuke hattori karen yui toita izu konishi eri ozaki risa nakamura tomoyo chujo takuro hijioka sawako yoshida chika okubo yuri fujiwara tomomi yamakawa hikaru yuki miyako kobayashi mutsuki arisawa koharu nogata tomoka kuzutani madoka yokoyama madoka hiraide ayako takamura yuki arimoto yuto kazama arisa takami chika sakamoto anime series kids tv when she gets angry middle schooler naoko turns into fierce dinosaur gauko thanks to friends aliens and more her life is full of wacky incidents
s1769,TV Show,Dino Hunt,Unknown,Unknown,Canada,"August 4, 2017",2016,TV-G,1 Season,"Docuseries, Science & Nature TV","Top scientists and paleontologists examine dinosaur fossils located throughout Canada, while searching for elusive new species.",unknown unknown docuseries science  nature tv top scientists and paleontologists examine dinosaur fossils located throughout canada while searching for elusive new species
s1770,TV Show,Dinosaur King,Unknown,"Megumi Matsumoto, Matsuri Mizuguchi, Tomoko Kobashi, Asuka Tanii, Seiko Tamura, Veronica Taylor, Sebastian Arcelus, Kether Donohue, Rachael Lillis, Madeleine Blaustein",Japan,"June 2, 2018",2008,TV-Y7,2 Seasons,"Anime Series, Kids' TV","Aided by tablets found near a downed meteorite, Max, Rex and Zoe race the evil Alpha Gang as they travel the globe in search of living dinosaurs.",unknown megumi matsumoto matsuri mizuguchi tomoko kobashi asuka tanii seiko tamura veronica taylor sebastian arcelus kether donohue rachael lillis madeleine blaustein anime series kids tv aided by tablets found near a downed meteorite max rex and zoe race the evil alpha gang as they travel the globe in search of living dinosaurs
s1771,TV Show,Dinotrux,Unknown,"Andrew Francis, Richard Ian Cox, Ashleigh Ball, Matt Hill, Brian Drummond, Paul Dobson",United States,"August 18, 2017",2017,TV-Y7,5 Seasons,Kids' TV,"Half dinosaur, half construction truck, full-on fun! Watch giant Ty Rux, his little buddy Revvit and the crew come face-to-face with evil D-Structs.",unknown andrew francis richard ian cox ashleigh ball matt hill brian drummond paul dobson kids tv half dinosaur half construction truck fullon fun watch giant ty rux his little buddy revvit and the crew come facetoface with evil dstructs
s1772,TV Show,Dinotrux Supercharged,Unknown,"Andrew Francis, Richard Ian Cox, Brian Drummond, Matt Hill, Ashleigh Ball, Paul Dobson",Unknown,"August 3, 2018",2018,TV-Y7,3 Seasons,Kids' TV,"Amped up with powers that make them faster, stronger and more agile than ever, the Dinotrux are back to face new challenges and meet new friends.",unknown andrew francis richard ian cox brian drummond matt hill ashleigh ball paul dobson kids tv amped up with powers that make them faster stronger and more agile than ever the dinotrux are back to face new challenges and meet new friends
s1773,TV Show,Dirty John,Unknown,"Connie Britton, Eric Bana, Juno Temple, Julia Garner, Jean Smart, Keiko Agena, Jeff Perry, Kevin Zegers, Jake Abel",United States,"November 25, 2019",2018,TV-MA,1 Season,"Crime TV Shows, TV Dramas, TV Mysteries",Businesswoman Debra Newell's life unravels when she falls for the lies and manipulation of con man John Meehan. Based on the true-crime podcast.,unknown connie britton eric bana juno temple julia garner jean smart keiko agena jeff perry kevin zegers jake abel crime tv shows tv dramas tv mysteries businesswoman debra newells life unravels when she falls for the lies and manipulation of con man john meehan based on the truecrime podcast
s1774,TV Show,Dirty Money,Unknown,Unknown,United States,"March 11, 2020",2020,TV-MA,2 Seasons,"Crime TV Shows, Docuseries","From crippling payday loans to cars that cheat emissions tests, this investigative series exposes brazen acts of corporate greed and corruption.",unknown unknown crime tv shows docuseries from crippling payday loans to cars that cheat emissions tests this investigative series exposes brazen acts of corporate greed and corruption
s1775,TV Show,Disappearance,Unknown,"Nelly Karim, Mohamed Mamdouh, Hesham Selim",Egypt,"March 8, 2019",2018,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Mysteries","A university lecturer in Russia returns to Egypt after her husband's sudden disappearance, uncovering further mysteries the more she investigates.",unknown nelly karim mohamed mamdouh hesham selim international tv shows tv dramas tv mysteries a university lecturer in russia returns to egypt after her husbands sudden disappearance uncovering further mysteries the more she investigates
s1776,Movie,Disciples Of The 36th Chamber,Chia-Liang Liu,"Hou Hsiao, Gordon Liu, Lily Li, Jason Pai Piao, Chia-Liang Liu",Hong Kong,"August 16, 2018",1985,TV-14,90 min,"Action & Adventure, International Movies","Shaolin monk San Te returns to protect a fellow hero with a talent for finding trouble in this action-packed sequel to ""The 36th Chamber of Shaolin.""",chialiang liu hou hsiao gordon liu lily li jason pai piao chialiang liu action  adventure international movies shaolin monk san te returns to protect a fellow hero with a talent for finding trouble in this actionpacked sequel to the 36th chamber of shaolin
s1777,Movie,Disclosure,Unknown,Unknown,United States,"June 19, 2020",2020,TV-MA,108 min,"Documentaries, LGBTQ Movies","In this documentary, leading trans creatives and thinkers share heartfelt perspectives and analysis about Hollywood's impact on the trans community.",unknown unknown documentaries lgbtq movies in this documentary leading trans creatives and thinkers share heartfelt perspectives and analysis about hollywoods impact on the trans community
s1778,Movie,Disco Dancer,B. Subhash,"Mithun Chakraborty, Kim, Kalpana Iyer, Om Puri, Gita Siddharth, Yusuf Khan, Bob Christo, Om Shivpuri, Karan Razdan",India,"October 12, 2020",1982,TV-14,134 min,"Cult Movies, Dramas, International Movies","A poor boy grows up to be a famous disco dancer, hoping to use his art to exact revenge on the millionaire who once framed him and his mother for theft.",b subhash mithun chakraborty kim kalpana iyer om puri gita siddharth yusuf khan bob christo om shivpuri karan razdan cult movies dramas international movies a poor boy grows up to be a famous disco dancer hoping to use his art to exact revenge on the millionaire who once framed him and his mother for theft
s1779,Movie,Disconnect,"David 'Tosh' Gitonga, Michael Jones","Brenda Wairimu, Nick Mutuma, Catherine Kamau, Pascal Tokodi, Patricia Kihoro, Pierra Makena, Bridget Shighadi, Brian Ogola, Illya Frank, Aseem Sharma, Arthur Sanya, Justin Mirichii, Maqbul Mohammed",Kenya,"October 16, 2020",2018,TV-MA,107 min,"Comedies, International Movies, Romantic Movies",A group of singletons stumbles through the wild dating scene in Nairobi as two friends wonder if their relationship is more than platonic.,david tosh gitonga michael jones brenda wairimu nick mutuma catherine kamau pascal tokodi patricia kihoro pierra makena bridget shighadi brian ogola illya frank aseem sharma arthur sanya justin mirichii maqbul mohammed comedies international movies romantic movies a group of singletons stumbles through the wild dating scene in nairobi as two friends wonder if their relationship is more than platonic
s1780,Movie,Discovering Bigfoot,Todd Standing,Todd Standing,United States,"December 15, 2017",2017,TV-MA,111 min,Documentaries,"Follow Todd Standing, Dr. Jeff Meldrum and other researchers into the wilderness, where they try to capture definitive proof of Sasquatch's existence.",todd standing todd standing documentaries follow todd standing dr jeff meldrum and other researchers into the wilderness where they try to capture definitive proof of sasquatchs existence
s1781,TV Show,Disenchantment,Unknown,"Abbi Jacobson, Eric André, Nat Faxon, John DiMaggio, Tress MacNeille, Matt Berry, David Herman, Maurice LaMarche, Lucy Montgomery, Billy West",United States,"January 15, 2021",2021,TV-14,3 Seasons,"TV Action & Adventure, TV Comedies, TV Sci-Fi & Fantasy","Princess duties call, but she'd rather be drinking. Free-spirited Bean exasperates the king as she wreaks havoc with her demon and elf pals.",unknown abbi jacobson eric andré nat faxon john dimaggio tress macneille matt berry david herman maurice lamarche lucy montgomery billy west tv action  adventure tv comedies tv scifi  fantasy princess duties call but shed rather be drinking freespirited bean exasperates the king as she wreaks havoc with her demon and elf pals
s1782,TV Show,Disjointed,Unknown,"Kathy Bates, Aaron Moten, Tone Bell, Dougie Baldwin, Elizabeth Ho, Elizabeth Alderfer, Chris Redd, Betsy Sodaro, Nicole Sullivan, Michael Trucco",United States,"January 12, 2018",2018,TV-MA,2 Seasons,TV Comedies,Pot activist Ruth Whitefeather Feldman runs a medical marijuana dispensary while encouraging her loyal patients to chill out and enjoy the high life.,unknown kathy bates aaron moten tone bell dougie baldwin elizabeth ho elizabeth alderfer chris redd betsy sodaro nicole sullivan michael trucco tv comedies pot activist ruth whitefeather feldman runs a medical marijuana dispensary while encouraging her loyal patients to chill out and enjoy the high life
s1783,Movie,Dismissed,Benjamin Arfmann,"Kent Osborne, Dylan Sprouse, Rae Gray, Alycia Delmore, Robert Longstreet, Chris Bauer, Randall Park, Mitchell Edwards, Victoria Zeutzius, Leslie Thurston, Matthew J. Evans",United States,"February 19, 2018",2017,TV-14,87 min,Thrillers,An intelligent but intense honor student traumatizes his high school teacher and mentor when he doesn't get the grade he believes he deserves.,benjamin arfmann kent osborne dylan sprouse rae gray alycia delmore robert longstreet chris bauer randall park mitchell edwards victoria zeutzius leslie thurston matthew j evans thrillers an intelligent but intense honor student traumatizes his high school teacher and mentor when he doesnt get the grade he believes he deserves
s1784,Movie,District 9,Neill Blomkamp,"Sharlto Copley, Jason Cope, David James, Vanessa Haywood, Mandla Gaduka, Kenneth Nkosi, Eugene Khumbanyiwa, Louis Minnaar, William Allen Young, Nathalie Boltt","South Africa, United States, New Zealand, Canada","November 4, 2019",2009,R,112 min,"Action & Adventure, International Movies, Sci-Fi & Fantasy","After years of segregation and forced labor, a race of stranded aliens enlists in a resistance movement spearheaded by a rogue government agent.",neill blomkamp sharlto copley jason cope david james vanessa haywood mandla gaduka kenneth nkosi eugene khumbanyiwa louis minnaar william allen young nathalie boltt action  adventure international movies scifi  fantasy after years of segregation and forced labor a race of stranded aliens enlists in a resistance movement spearheaded by a rogue government agent
s1785,TV Show,Diva Brides,Unknown,Unknown,Unknown,"October 2, 2019",2017,TV-MA,1 Season,"British TV Shows, Reality TV","In this reality series, brides-to-be stop at nothing to have their dream weddings despite meager funds, fallouts with friends or even absent grooms.",unknown unknown british tv shows reality tv in this reality series bridestobe stop at nothing to have their dream weddings despite meager funds fallouts with friends or even absent grooms
s1786,Movie,Divines,Houda Benyamina,"Déborah Lukumuena, Jisca Kalvanda, Kévin Mischel, Majdouline Idrissi, Oulaya Amamra, Yasin Houicha","France, Qatar","November 18, 2016",2016,TV-MA,107 min,"Dramas, Independent Movies, International Movies",A shrewd teenager and her wisecracking best friend plan to get rich or die trying by following in the footsteps of a flashy female drug dealer.,houda benyamina déborah lukumuena jisca kalvanda kévin mischel majdouline idrissi oulaya amamra yasin houicha dramas independent movies international movies a shrewd teenager and her wisecracking best friend plan to get rich or die trying by following in the footsteps of a flashy female drug dealer
s1787,Movie,DJ Cinderella,Bruno Garotti,"Maísa Silva, Filipe Bragança, Fernanda Paes Leme, Miriam Freeland, Marcelo Valle, Elisa Pinheiro, Sérgio Malheiros, Giovanna Grigio, Bárbara Maia, Letícia Pedro, Kiria Malheiros, Leo Cidade, Matheus Costa, Isabel Fillardis, Selma Lopes",Brazil,"June 14, 2019",2019,TV-PG,95 min,"Children & Family Movies, Comedies","Fiercely independent and disillusioned with love, a teen DJ is determined to chart her own path, till a pop heartthrob falls for her awesome mix.",bruno garotti maísa silva filipe bragança fernanda paes leme miriam freeland marcelo valle elisa pinheiro sérgio malheiros giovanna grigio bárbara maia letícia pedro kiria malheiros leo cidade matheus costa isabel fillardis selma lopes children  family movies comedies fiercely independent and disillusioned with love a teen dj is determined to chart her own path till a pop heartthrob falls for her awesome mix
s1788,Movie,Django Unchained,Quentin Tarantino,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington, Samuel L. Jackson, Walton Goggins, Dennis Christopher, James Remar, David Steen, Dana Gourrier, Nichole Galicia, Laura Cayouette, Ato Essandoh, Sammi Rotibi, Escalante Lundy, Don Johnson",United States,"April 25, 2020",2012,R,165 min,"Action & Adventure, Dramas","Accompanied by a German bounty hunter, a freed slave named Django travels across America to free his wife from a sadistic plantation owner.",quentin tarantino jamie foxx christoph waltz leonardo dicaprio kerry washington samuel l jackson walton goggins dennis christopher james remar david steen dana gourrier nichole galicia laura cayouette ato essandoh sammi rotibi escalante lundy don johnson action  adventure dramas accompanied by a german bounty hunter a freed slave named django travels across america to free his wife from a sadistic plantation owner
s1789,Movie,DNA,Maïwenn,"Maïwenn, Fanny Ardant, Louis Garrel, Dylan Robert, Marine Vacth, Caroline Chaniolleau, Alain Françon, Florent Lacger, Henri-Noël Tabary, Omar Marwan","France, Algeria","December 26, 2020",2020,TV-MA,91 min,"Dramas, International Movies","Grieving the death of her grandfather, Neige navigates family conflict and questions her world in this meditation about cultural identity and roots.",maïwenn maïwenn fanny ardant louis garrel dylan robert marine vacth caroline chaniolleau alain françon florent lacger henrinoël tabary omar marwan dramas international movies grieving the death of her grandfather neige navigates family conflict and questions her world in this meditation about cultural identity and roots
s1790,TV Show,Do Do Sol Sol La La Sol,Unknown,"Go A-ra, Lee Jae-wook, Kim Ju-hun, Ye Ji-won, Lee Soon-jae, Shin Eun-soo, Seo Yi-sook",South Korea,"October 8, 2020",2020,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies","A riches-to-rags pianist who loses everything but her smile is guided by twinkling little stars to a small town where she finds hope, home and love.",unknown go ara lee jaewook kim juhun ye jiwon lee soonjae shin eunsoo seo yisook international tv shows romantic tv shows tv comedies a richestorags pianist who loses everything but her smile is guided by twinkling little stars to a small town where she finds hope home and love
s1791,Movie,Do Dooni Chaar,Habib Faisal,"Rishi Kapoor, Neetu Singh, Aditi Vasudev, Archit Krishna, Akhilendra Mishra, Natasha Rastogi, Manoj Bakshi, Supriya Shukla",India,"November 1, 2018",2010,TV-PG,106 min,"Comedies, International Movies","A struggling math teacher holds down a second job to keep his family afloat. But when he receives a wedding invitation, he's determined to attend.",habib faisal rishi kapoor neetu singh aditi vasudev archit krishna akhilendra mishra natasha rastogi manoj bakshi supriya shukla comedies international movies a struggling math teacher holds down a second job to keep his family afloat but when he receives a wedding invitation hes determined to attend
s1792,Movie,Do Paise Ki Dhoop Chaar Aane Ki Baarish,Deepti Naval,"Manisha Koirala, Rajit Kapoor, Sanaj Naval, Rajendra Gupta, Suhaas Khandke, Nassar Abdulla, Saurabh Dubey, Usha Jadhav, Ashwin Kaushal, Milind Soman",India,"September 22, 2019",2009,TV-MA,121 min,"Dramas, Independent Movies, International Movies","When a sex worker hires a gay songwriter to care for her disabled son, the ensuing bonds that form offer a complex portrayal of love and family.",deepti naval manisha koirala rajit kapoor sanaj naval rajendra gupta suhaas khandke nassar abdulla saurabh dubey usha jadhav ashwin kaushal milind soman dramas independent movies international movies when a sex worker hires a gay songwriter to care for her disabled son the ensuing bonds that form offer a complex portrayal of love and family
s1793,TV Show,Doctor Foster,Unknown,"Suranne Jones, Bertie Carvel, Clare-Hope Ashitey, Cheryl Campbell, Jodie Comer, Victoria Hamilton, Martha Howe-Douglas, Adam James, Thusitha Jayasundera, Sara Stewart, Neil Stuke, Tom Taylor, Robert Pugh, Shazia Nicholls, Cian Barry, Megan Roberts, Charlie Cunniffe, Navin Chowdhry",United Kingdom,"March 31, 2018",2017,TV-MA,2 Seasons,"British TV Shows, International TV Shows, Romantic TV Shows","When she suspects her husband is cheating on her, Dr. Gemma Foster starts an investigation that leads her down a dark path of obsession.",unknown suranne jones bertie carvel clarehope ashitey cheryl campbell jodie comer victoria hamilton martha howedouglas adam james thusitha jayasundera sara stewart neil stuke tom taylor robert pugh shazia nicholls cian barry megan roberts charlie cunniffe navin chowdhry british tv shows international tv shows romantic tv shows when she suspects her husband is cheating on her dr gemma foster starts an investigation that leads her down a dark path of obsession
s1794,Movie,Doctor Zhivago,David Lean,"Omar Sharif, Julie Christie, Geraldine Chaplin, Rod Steiger, Alec Guinness, Tom Courtenay, Siobhan McKenna, Ralph Richardson, Jeffrey Rockland","United States, Italy, United Kingdom, Liechtenstein","November 1, 2019",1965,PG-13,200 min,"Classic Movies, Dramas, Romantic Movies",A young physician and his beautiful mistress get swept up in the danger and drama of the Bolshevik Revolution in this Oscar-winning epic.,david lean omar sharif julie christie geraldine chaplin rod steiger alec guinness tom courtenay siobhan mckenna ralph richardson jeffrey rockland classic movies dramas romantic movies a young physician and his beautiful mistress get swept up in the danger and drama of the bolshevik revolution in this oscarwinning epic
s1795,TV Show,Documentary Now!,Unknown,"Fred Armisen, Bill Hader, Helen Mirren",United States,"June 3, 2019",2019,TV-14,3 Seasons,TV Comedies,"Elevating the art of parody, this sharply comic series spoofs high-profile documentaries such as ""Grey Gardens"" and ""The Thin Blue Line.""",unknown fred armisen bill hader helen mirren tv comedies elevating the art of parody this sharply comic series spoofs highprofile documentaries such as grey gardens and the thin blue line
s1796,Movie,Dog Eat Dog,Paul Schrader,"Nicolas Cage, Willem Dafoe, Christopher Matthew Cook, Omar J. Dorsey, Louisa Krause, Melissa Bolona, Reynaldo Gallegos",United States,"December 31, 2016",2016,TV-MA,93 min,"Dramas, Thrillers",A delusional ex-con rejoins his unhinged former partners for one last job: kidnap the baby of a mobster's enemy for ransom.,paul schrader nicolas cage willem dafoe christopher matthew cook omar j dorsey louisa krause melissa bolona reynaldo gallegos dramas thrillers a delusional excon rejoins his unhinged former partners for one last job kidnap the baby of a mobsters enemy for ransom
s1797,TV Show,Dogs,Unknown,Unknown,United States,"November 16, 2018",2018,TV-PG,1 Season,Docuseries,"These six intimate stories explore the abiding emotional bonds that form between dogs and their caregivers, no matter the circumstances.",unknown unknown docuseries these six intimate stories explore the abiding emotional bonds that form between dogs and their caregivers no matter the circumstances
s1798,TV Show,Dogs of Berlin,Unknown,"Felix Kramer, Fahri Yardim, Anna Maria Mühe, Katharina Schüttler, Alina Stiegler, Urs Rechn, Sinan Farhangmehr, Kais Setti, Mohamed Issa, Hauke Diekamp, David Bennent, Deniz Orta, Katrin Saß, Sebastian Zimmler",Germany,"December 7, 2018",2018,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas","Two cops investigate the murder of a famous Turkish-German soccer player, but one of them has underworld connections that mire the case in controversy.",unknown felix kramer fahri yardim anna maria mühe katharina schüttler alina stiegler urs rechn sinan farhangmehr kais setti mohamed issa hauke diekamp david bennent deniz orta katrin saß sebastian zimmler crime tv shows international tv shows tv dramas two cops investigate the murder of a famous turkishgerman soccer player but one of them has underworld connections that mire the case in controversy
s1799,Movie,Dolemite Is My Name,Craig Brewer,"Eddie Murphy, Wesley Snipes, Keegan-Michael Key, Mike Epps, Craig Robinson, Tituss Burgess, Da'Vine Joy Randolph, Kodi Smit-McPhee",United States,"October 25, 2019",2019,R,118 min,"Comedies, Dramas","In 1970s LA, struggling comedian Rudy Ray Moore hits it big with his raunchy alter ego, Dolemite, then risks it all to take his act to the big screen.",craig brewer eddie murphy wesley snipes keeganmichael key mike epps craig robinson tituss burgess davine joy randolph kodi smitmcphee comedies dramas in 1970s la struggling comedian rudy ray moore hits it big with his raunchy alter ego dolemite then risks it all to take his act to the big screen
s1800,TV Show,Dollar,Unknown,"Adel Karam, Amel Bouchoucha",Lebanon,"August 8, 2019",2019,TV-MA,1 Season,"International TV Shows, TV Dramas",Beautiful executive assistant Zeina reluctantly teams up with the self-assured Tarek to chase down an elusive dollar bill worth $1 million.,unknown adel karam amel bouchoucha international tv shows tv dramas beautiful executive assistant zeina reluctantly teams up with the selfassured tarek to chase down an elusive dollar bill worth 1 million
s1801,Movie,Dolly Kitty Aur Woh Chamakte Sitare,Alankrita Shrivastava,"Bhumi Pednekar, Konkona Sen Sharma, Vikrant Massey, Amol Parashar, Aamir Bashir, Karan Kundra, Kalp Shah, Hearty Singh, Neelima Azim, Kubbra Sait",India,"September 18, 2020",2020,TV-MA,120 min,"Dramas, Independent Movies, International Movies","A disillusioned Delhi wife and her new-in-town cousin navigate damning secrets, dreams and their thorny dynamic on their respective roads to freedom.",alankrita shrivastava bhumi pednekar konkona sen sharma vikrant massey amol parashar aamir bashir karan kundra kalp shah hearty singh neelima azim kubbra sait dramas independent movies international movies a disillusioned delhi wife and her newintown cousin navigate damning secrets dreams and their thorny dynamic on their respective roads to freedom
s1802,Movie,Dolly Parton: Here I Am,Francis Whately,Dolly Parton,United Kingdom,"October 6, 2020",2019,TV-14,90 min,"Documentaries, Music & Musicals","Dolly Parton leads a moving, musical journey in this documentary that details the people and places who have helped shape her iconic career.",francis whately dolly parton documentaries music  musicals dolly parton leads a moving musical journey in this documentary that details the people and places who have helped shape her iconic career
s1803,TV Show,Dolly Parton's Heartstrings,Unknown,"Dolly Parton, Julianne Hough, Kimberly Williams-Paisley, Dallas Roberts, Melissa Leo, Andy Mientus, Katie Stevens, Michael J. Willett, Aidan Langford, Ray McKinnon, Delta Burke, Gerald McRaney, Ben Lawson, Brooke Elliott, Michele Weaver, Tim Reid, Sarah Shahi, Rochelle Aytes, Jessica Collins, Tammy Lynn Michaels, Robert Taylor, Holly Taylor, Shane Paul McGhie, Mary Lane Haskell, Camryn Manheim, Bellamy Young, Patricia Wettig, Timothy Busfield, Tom Brittney, Virginia Gardner, Colin O'Donoghue, Willa Fitzgerald, David Denman, Vanessa Rubio, Mac Davis, Kathleen Turner, Ginnifer Goodwin, Kyle Bornheimer, Tyler Crumley, Mary Donnelly Haskell, Ed Amatrudo",United States,"November 22, 2019",2019,TV-14,1 Season,TV Dramas,"Eight stories celebrating family, faith, love and forgiveness come to life in this series inspired by Dolly Parton's iconic country music catalog.",unknown dolly parton julianne hough kimberly williamspaisley dallas roberts melissa leo andy mientus katie stevens michael j willett aidan langford ray mckinnon delta burke gerald mcraney ben lawson brooke elliott michele weaver tim reid sarah shahi rochelle aytes jessica collins tammy lynn michaels robert taylor holly taylor shane paul mcghie mary lane haskell camryn manheim bellamy young patricia wettig timothy busfield tom brittney virginia gardner colin odonoghue willa fitzgerald david denman vanessa rubio mac davis kathleen turner ginnifer goodwin kyle bornheimer tyler crumley mary donnelly haskell ed amatrudo tv dramas eight stories celebrating family faith love and forgiveness come to life in this series inspired by dolly partons iconic country music catalog
